iter	Accuracy	MultiClass
0	0.2490918573	3.607196819
1	0.3304793025	3.25344911
2	0.3781871515	3.012565663
3	0.4318331801	2.818986577
4	0.4796708206	2.656761655
5	0.5261967834	2.519794476
6	0.5608606295	2.405679541
7	0.5852181757	2.30582206
8	0.6224556549	2.216935466
9	0.6316861213	2.132943273
10	0.6356303803	2.060581291
11	0.6418697918	1.995491401
12	0.6416942423	1.946979061
13	0.6578133995	1.899887105
14	0.6587704397	1.853473824
15	0.6652309395	1.813115408
16	0.6674268555	1.775836973
17	0.6890098679	1.744741329
18	0.6961944427	1.703385238
19	0.7052191463	1.678134372
20	0.7180440701	1.640506653
21	0.7248957087	1.603619294
22	0.7307347374	1.579065769
23	0.7389973419	1.551505406
24	0.7393070437	1.522626991
25	0.7445765629	1.492899819
26	0.7467583003	1.476664748
27	0.7522336176	1.452897705
28	0.752453906	1.431718935
29	0.7526530982	1.411139184
30	0.7532771521	1.392259426
31	0.7536470695	1.374097941
32	0.7559530078	1.357756097
33	0.7562301368	1.338582063
34	0.7563232482	1.327077914
35	0.7570895463	1.308841155
36	0.7584788512	1.292074351
37	0.7590470123	1.276744693
38	0.7614802628	1.266415061
39	0.7617017076	1.252312254
40	0.7616721613	1.240714034
41	0.7737677628	1.222527194
42	0.7739157284	1.210005393
43	0.7739991234	1.198609703
44	0.7744189735	1.188842591
45	0.7831964753	1.172780887
46	0.7856612099	1.161188162
47	0.7863255184	1.150433656
48	0.791001439	1.13968959
49	0.7936531471	1.124864111
50	0.7962905314	1.113866642
51	0.797874943	1.097157883
52	0.8020107574	1.082884852
53	0.802230223	1.07644589
54	0.8027923022	1.070546035
55	0.8063162136	1.056786478
56	0.8063624762	1.043750049
57	0.8066664937	1.037409829
58	0.8076096241	1.028090628
59	0.8084513904	1.016693776
60	0.8088548359	1.009398513
61	0.809988167	0.9978553744
62	0.8102110136	0.9927209351
63	0.8103568413	0.9870280572
64	0.8104633423	0.9766029827
65	0.8103505779	0.9693059853
66	0.8102642967	0.9603265482
67	0.8106927953	0.9510959575
68	0.810762388	0.9439648087
69	0.8124722005	0.9346765702
70	0.8126020898	0.9251356533
71	0.8128414105	0.9209708253
72	0.8128833138	0.9135963748
73	0.8118318386	0.9069201585
74	0.8122251976	0.8996958099
75	0.8123332741	0.8933639571
76	0.8126922589	0.8881433682
77	0.8144564218	0.8804390925
78	0.8150934178	0.8724633294
79	0.8151284349	0.8680068383
80	0.8171926998	0.8610579421
81	0.8173826658	0.8570555149
82	0.8175534999	0.8505659884
83	0.8176612628	0.846621935
84	0.8176389264	0.8409315069
85	0.8182660981	0.8351765625
86	0.818772587	0.8301678286
87	0.8190508618	0.8269805046
88	0.8189185475	0.8233046779
89	0.8194162251	0.8185475536
90	0.8195104776	0.8148828419
91	0.8195600551	0.810327348
92	0.8194063233	0.8055073542
93	0.819902321	0.8003098425
94	0.8198781897	0.7975737564
95	0.8193756383	0.793109341
96	0.819393554	0.7896124728
97	0.8217848988	0.783198837
98	0.8242835064	0.7788806961
99	0.8243730718	0.7765348116
100	0.8246298419	0.7720832509
101	0.82524413	0.7680038051
102	0.8262080034	0.764529261
103	0.8261968176	0.7604982532
104	0.8268298103	0.7554866248
105	0.8271275358	0.7518742022
106	0.8276420314	0.7472400273
107	0.8276621212	0.7432620624
108	0.8282050838	0.7396271981
109	0.8284023338	0.7350364765
110	0.8284202263	0.7320363534
111	0.828949841	0.7280911804
112	0.8290911971	0.7239329096
113	0.8293505714	0.7210195596
114	0.829781087	0.7175236896
115	0.8303694646	0.7139779585
116	0.8304870488	0.7108076117
117	0.8304921046	0.707922084
118	0.8310552356	0.7036921175
119	0.8311042685	0.7010674902
120	0.8312823781	0.6982685432
121	0.8316182618	0.6957899895
122	0.8320485763	0.6924042724
123	0.8324391556	0.6897130309
124	0.8323611333	0.686360153
125	0.8330349661	0.6845255248
126	0.8330885744	0.6827472091
127	0.833199132	0.6794050941
128	0.8333018207	0.6772843735
129	0.8333153032	0.6742870426
130	0.833658293	0.6721232989
131	0.8336677259	0.6696600173
132	0.8341969777	0.6674890164
133	0.8346544232	0.6647539145
134	0.8346173887	0.663013657
135	0.834748359	0.6599374083
136	0.8348106959	0.6569954671
137	0.8352273064	0.6546321657
138	0.8353723014	0.652934595
139	0.8353334222	0.6516480588
140	0.8354163856	0.649843397
141	0.835772352	0.6471657461
142	0.835929784	0.645302472
143	0.8364500668	0.643496302
144	0.8366128282	0.6407994538
145	0.8369218248	0.6394011743
146	0.8376355202	0.6373729419
147	0.8377366946	0.6359557639
148	0.838400783	0.6330584183
149	0.8384413326	0.6314381793
150	0.8384492661	0.6293555794
151	0.8391666627	0.6262283809
152	0.8391966852	0.6238130637
153	0.8394894313	0.62118604
154	0.8395489614	0.6189075804
155	0.8395999483	0.6172764874
156	0.8395316621	0.6151763755
157	0.8397340891	0.6127731777
158	0.8401099519	0.6101654888
159	0.8402778389	0.6082197925
160	0.8404938154	0.6070836767
161	0.840671811	0.6056462283
162	0.8408337977	0.6034481182
163	0.8410583784	0.6017947543
164	0.841428419	0.6004271162
165	0.84167668	0.5991697485
166	0.8416905222	0.5970793611
167	0.8419356299	0.5951631383
168	0.8419762639	0.5937758083
169	0.8418415163	0.5930409354
170	0.8420909954	0.5920919515
171	0.8420545011	0.5911036661
172	0.8422802952	0.5899672868
173	0.8422976234	0.5875689644
174	0.842360517	0.5863089341
175	0.8437509235	0.5850975108
176	0.8440578368	0.5830593006
177	0.8436639399	0.5820927571
178	0.8442479	0.5807554414
179	0.8440081401	0.5792941769
180	0.8441867293	0.5770959752
181	0.844541375	0.5755469755
182	0.8445717723	0.5736670707
183	0.8447525558	0.5728859522
184	0.8448833001	0.570664414
185	0.8450130701	0.5688530954
186	0.8451137686	0.5676983468
187	0.8454166016	0.5663481974
188	0.845675213	0.5648383252
189	0.8458418858	0.5640827589
190	0.8459885664	0.5623040768
191	0.8460529777	0.5609894584
192	0.8460010898	0.5600068005
193	0.8458349722	0.5585588605
194	0.8458323709	0.5568745051
195	0.8460826082	0.5559473514
196	0.8461242593	0.5549889091
197	0.8462324512	0.5538643487
198	0.8463555005	0.5526231735
199	0.8463577412	0.5507577822
200	0.846524215	0.5490141801
201	0.8465898621	0.548301324
202	0.8467050029	0.5474833972
203	0.8467095192	0.5462259167
204	0.8471336694	0.545333145
205	0.8472642333	0.5445604121
206	0.8473743879	0.5433215375
207	0.8472870378	0.5422620674
208	0.8474032843	0.5414161871
209	0.8475822013	0.5404190881
210	0.8480822539	0.5390508737
211	0.8481519297	0.5379240809
212	0.8480981967	0.537165006
213	0.848225788	0.5362340927
214	0.8481412327	0.5353039241
215	0.8485295304	0.5344197305
216	0.8485942878	0.5335857023
217	0.848611358	0.5318582756
218	0.8486252959	0.5313594271
219	0.8488698514	0.5306500017
220	0.848990055	0.5293683624
221	0.8490561007	0.5286955229
222	0.849187382	0.5272779949
223	0.8491907327	0.5259302848
224	0.8491879109	0.5252020523
225	0.849370226	0.524771386
226	0.8495891197	0.5237530352
227	0.8496241003	0.5222867418
228	0.849941104	0.5217266191
229	0.8499625121	0.5208548586
230	0.8502525938	0.5198133393
231	0.8501428038	0.5193009918
232	0.8503860192	0.5189116919
233	0.8503212537	0.5178311671
234	0.8504463205	0.516727036
235	0.8507653867	0.5159715434
236	0.850806204	0.5148503662
237	0.850822905	0.5139460473
238	0.8508531238	0.5124626051
239	0.8508945364	0.5110378258
240	0.8508475382	0.5099610936
241	0.8508107962	0.5086674906
242	0.8507365775	0.5076761291
243	0.8509536516	0.5068975703
244	0.8509656223	0.5062638931
245	0.8511702447	0.5053409758
246	0.8514357081	0.5041859734
247	0.8514944525	0.5037600893
248	0.8515337008	0.5024226968
249	0.8515370465	0.5016896612
250	0.8514967158	0.5005688749
251	0.8517442095	0.4999710049
252	0.8517209268	0.4991711069
253	0.8518218468	0.4987189105
254	0.8518938579	0.4982495337
255	0.8519894263	0.4973456003
256	0.8522313106	0.4968818962
257	0.8522517201	0.4962388807
258	0.8522624241	0.4955989921
259	0.8522708347	0.4949487467
260	0.8523245716	0.4944491906
261	0.8527240558	0.4940000439
262	0.8528747925	0.4933202315
263	0.85287636	0.4920246881
264	0.8529238276	0.4913605785
265	0.8530235564	0.4907021121
266	0.8532407351	0.4897520192
267	0.853247344	0.4886998359
268	0.8533670422	0.4882259313
269	0.853753761	0.4878548243
270	0.8539273467	0.4872202996
271	0.854003525	0.4867006299
272	0.8540598688	0.4860993206
273	0.8540879369	0.4850655828
274	0.853956719	0.4841644613
275	0.8540535848	0.4836053473
276	0.854236529	0.4826296839
277	0.8545866845	0.4822046722
278	0.8546900889	0.4813150334
279	0.8548072451	0.4799539143
280	0.854818108	0.4793839198
281	0.8548804533	0.4784905733
282	0.8549702412	0.4780183071
283	0.8550460704	0.477707373
284	0.8550410348	0.4769017402
285	0.8552678458	0.4763177728
286	0.8552249595	0.4759517015
287	0.8555324338	0.4752709653
288	0.8555548384	0.4740130259
289	0.8556004514	0.4735043169
290	0.8556629976	0.4730222522
291	0.8556558623	0.4718392304
292	0.8556562472	0.4705755734
293	0.8557885814	0.4701224594
294	0.8557681478	0.4697314182
295	0.8559354086	0.4691420419
296	0.8559410895	0.4684504616
297	0.8559976501	0.4680404056
298	0.8560406721	0.4671102817
299	0.8559308147	0.4667237424
300	0.856085285	0.4662146592
301	0.8562269935	0.4652414764
302	0.8562352296	0.4645609702
303	0.856310758	0.4636202963
304	0.8563564804	0.4631716384
305	0.8565638773	0.4625020553
306	0.8565978555	0.4621012679
307	0.8566030379	0.4616687415
308	0.8566005449	0.4606273904
309	0.856671004	0.4596762194
310	0.8568697837	0.4592259715
311	0.8568560008	0.4581190729
312	0.8569131487	0.4576587359
313	0.8570123832	0.4570845055
314	0.8569803384	0.4564222977
315	0.8570904884	0.4559962992
316	0.8571421235	0.455536841
317	0.8572781838	0.4552818008
318	0.8573149096	0.4550034803
319	0.8573011752	0.4548147831
320	0.8574689138	0.4544019488
321	0.8574837422	0.4533043479
322	0.8575688075	0.4528725086
323	0.8577104654	0.4522629715
324	0.8577239035	0.4513568651
325	0.8577734066	0.4504711953
326	0.857825066	0.4499234585
327	0.857886339	0.4495996481
328	0.8579899	0.4493223568
329	0.857991767	0.4483728909
330	0.8581113562	0.4474100984
331	0.8580476519	0.446709641
332	0.8580664056	0.445783976
333	0.8581910009	0.4452851235
334	0.8581916929	0.4443126381
335	0.8581962049	0.4439170151
336	0.8586128939	0.4434955077
337	0.8586580057	0.4430644527
338	0.8586611895	0.4422312378
339	0.8587151282	0.4418233899
340	0.8588022585	0.4415239956
341	0.8588691188	0.4411602383
342	0.8589418307	0.4405102611
343	0.8590031494	0.4397501038
344	0.8589940606	0.4389205203
345	0.8589098881	0.4386327461
346	0.8589263034	0.43845257
347	0.8590455765	0.4380285987
348	0.8590243622	0.4371760575
349	0.8590360394	0.436653362
350	0.8591318325	0.436317904
351	0.8591992193	0.4356475797
352	0.8592007799	0.4348947362
353	0.859178268	0.4340690728
