iter	Passed	Remaining
0	38734	19328678
1	76943	19158970
2	115316	19104179
3	154033	19100205
4	192651	19072543
5	231047	19022909
6	270682	19063747
7	309892	19058399
8	349252	19053678
9	388306	19027039
10	427216	18991719
11	465711	18938918
12	504737	18908228
13	544090	18887711
14	582980	18849716
15	621862	18811342
16	661084	18782586
17	699878	18741177
18	738212	18688435
19	778065	18673576
20	816243	18618128
21	855545	18588673
22	894277	18546542
23	933506	18514549
24	972170	18471247
25	1011749	18444979
26	1050934	18410818
27	1089739	18369902
28	1128754	18332533
29	1167638	18293005
30	1206562	18254118
31	1244937	18207216
32	1284362	18175681
33	1323455	18139126
34	1362444	18101052
35	1401886	18068756
36	1441412	18037132
37	1480573	18000654
38	1519995	17967120
39	1558984	17928324
40	1598374	17893993
41	1636802	17848939
42	1676121	17813658
43	1715096	17774637
44	1754256	17737480
45	1792219	17688430
46	1831534	17652879
47	1870762	17616343
48	1909360	17573906
49	1947470	17527234
50	1985309	17478511
51	2024441	17441341
52	2062962	17398946
53	2101833	17359588
54	2141743	17328649
55	2180983	17292079
56	2219783	17252002
57	2259613	17219815
58	2300145	17192612
59	2340007	17160053
60	2380063	17128651
61	2419106	17089819
62	2458500	17053405
63	2497960	17017359
64	2536450	16974704
65	2575457	16935583
66	2614345	16895696
67	2653111	16855063
68	2692167	16816290
69	2731914	16781762
70	2770534	16740271
71	2809047	16698225
72	2847867	16658072
73	2886741	16618266
74	2925177	16576005
75	2962965	16530229
76	3001697	16489844
77	3040483	16449794
78	3079226	16409546
79	3118977	16374631
80	3157727	16334418
81	3196494	16294327
82	3235513	16255533
83	3274534	16216742
84	3312765	16174087
85	3352116	16136930
86	3390965	16097341
87	3429572	16056634
88	3467528	16012970
89	3506284	15973074
90	3545167	15933775
91	3583574	15892372
92	3622721	15854274
93	3661420	15814221
94	3700216	15774605
95	3738888	15734491
96	3777268	15693185
97	3815577	15651653
98	3854124	15611151
99	3893592	15574370
100	3931928	15533064
101	3970436	15492488
102	4009128	15452659
103	4047451	15411449
104	4086326	15372371
105	4125510	15334444
106	4164802	15296890
107	4203029	15255439
108	4241840	15216142
109	4280263	15175478
110	4319286	15136958
111	4359085	15101119
112	4398407	15063570
113	4437597	15025549
114	4477120	14988622
115	4515351	14947371
116	4554107	14907891
117	4593012	14868905
118	4631534	14828693
119	4670168	14788867
120	4709149	14750145
121	4748733	14713289
122	4787894	14675092
123	4826095	14633967
124	4865215	14595645
125	4904245	14557046
126	4944073	14520782
127	4982657	14480849
128	5021423	14441457
129	5059609	14400425
130	5098487	14361389
131	5136619	14320271
132	5175554	14281417
133	5213865	14240856
134	5252298	14200658
135	5290310	14159360
136	5328173	14117716
137	5366715	14077905
138	5405009	14037471
139	5443950	13998730
140	5482855	13959894
141	5521334	13919984
142	5559912	13880340
143	5598561	13840887
144	5637230	13801495
145	5675687	13761597
146	5713673	13720589
147	5752858	13682475
148	5792007	13644259
149	5830826	13605262
150	5869715	13566428
151	5907305	13524620
152	5945999	13485371
153	5984034	13444649
154	6022484	13404884
155	6062233	13368002
156	6100443	13327720
157	6138472	13287072
158	6175914	13245200
159	6214155	13205081
160	6253112	13166490
161	6291810	13127357
162	6330394	13087992
163	6369201	13049096
164	6407907	13009994
165	6446071	12969806
166	6484571	12930312
167	6522225	12889159
168	6560644	12849546
169	6598998	12809820
170	6637298	12770006
171	6676273	12731498
172	6714395	12691372
173	6752941	12652062
174	6791395	12612592
175	6830255	12573878
176	6868812	12534612
177	6907522	12495631
178	6945690	12455679
179	6984175	12416311
180	7022413	12376518
181	7060862	12337111
182	7099126	12297393
183	7137989	12258721
184	7176064	12218703
185	7214620	12179520
186	7252686	12139523
187	7290813	12099647
188	7329138	12060116
189	7367798	12021144
190	7406320	11981952
191	7444732	11942592
192	7482594	11902365
193	7520680	11862515
194	7559241	11823428
195	7598727	11785781
196	7637326	11746750
197	7676616	11708778
198	7715145	11669642
199	7753179	11629769
200	7791697	11590634
201	7830280	11551602
202	7868990	11512759
203	7907494	11473619
204	7946653	11435427
205	7985680	11397039
206	8024365	11358160
207	8063048	11319280
208	8101667	11280312
209	8140379	11241476
210	8179092	11202643
211	8218240	11164402
212	8256591	11125078
213	8294990	11085828
214	8333401	11046602
215	8372283	11008001
216	8410217	10968163
217	8448239	10928456
218	8486977	10889684
219	8525726	10850924
220	8564289	10811931
221	8603520	10773777
222	8642559	10735376
223	8680687	10695847
224	8718949	10656493
225	8758692	10618945
226	8797696	10580489
227	8836211	10541445
228	8874649	10502314
229	8913657	10463858
230	8952451	10425149
231	8990987	10386140
